代號,名稱,2025 Q3,2025 Q2,2025 Q1,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1
1587,吉茂,-,-,AI1,AI1/AI3,-,-,-,-,-,-,-
2301,光寶科,-,-,AI1,AI1/AI3,-,-,-,-,-,-,-
2303,聯電,-,-,AI1,AI1/AI3,-,-,-,-,-,-,-
2308,台達電,-,-,AI1,AI1/AI3,-,-,-,-,-,-,-
2317,鴻海,-,-,AI1,AI1/AI3,-,-,-,-,-,-,-
2324,仁寶,-,-,AI1,AI1/AI3,-,-,-,-,-,-,-
2330,台積電,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-
2332,友訊,-,-,AI1,AI1/AI3,-,-,-,-,-,-,-
2345,智邦,-,-,-,-,-,-,-,-,-,-,-
2347,聯強,-,-,AI1,AI1/AI3,-,-,-,-,-,-,-
2353,宏碁,-,-,-,-,-,-,-,-,-,-,-
2354,鴻準,-,-,AI1,AI1/AI3,-,-,-,-,-,-,-
2356,英業達,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-
2357,華碩,-,-,AI1,AI1/AI3,-,-,-,-,-,-,-
2359,所羅門,-,-,-,AI1/AI3,-,-,-,-,-,-,-
2376,技嘉,-,-,AI1,AI1/AI3,-,-,-,-,-,-,-
2377,微星,-,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-
2379,瑞昱,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-
2382,廣達,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1
2383,台光電,-,-,-,AI1/AI3,-,-,-,-,-,-,-
2395,研華,-,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-
2405,輔信,-,-,-,AI1,-,-,-,-,-,-,-
2412,中華電,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1
2449,京元電子,-,AI1,AI1,-,-,-,-,-,-,-,-
2450,神腦,-,AI1,AI1,-,-,-,-,-,-,-,-
2451,創見,-,AI1,AI1,-,-,-,-,-,-,-,-
2454,聯發科,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-
2458,義隆,-,AI1,AI1,-,-,-,-,-,-,-,-
2474,可成,-,AI1,AI1,-,-,-,-,-,-,-,-
2480,敦陽科,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1
2603,長榮,-,AI1,AI1,-,-,-,-,-,-,-,-
2646,星宇航空,-,AI2,AI2,-,-,-,-,-,-,-,-
3014,聯陽,-,AI1,AI1,-,-,-,-,-,-,-,-
3022,威強電,-,AI1,AI1,-,-,-,-,-,-,-,-
3026,禾伸堂,-,AI1,AI1,-,-,-,-,-,-,-,-
3029,零壹,-,AI1,AI1,-,-,-,-,-,-,-,-
3034,聯詠,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1
3035,智原,-,AI1,AI1,-,-,-,-,-,-,-,-
3045,台灣大,-,AI1,AI1,-,-,-,-,-,-,-,-
3048,益登,-,AI1,AI1,-,-,-,-,-,-,-,-
3150,鈺寶-創,-,AI2,AI2,-,-,-,-,-,-,-,-
3158,嘉實,-,AI1,AI1,-,-,-,-,-,-,-,-
3231,緯創,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-
3260,威剛,-,AI1,AI1,-,-,-,-,-,-,-,-
3293,鈊象,-,AI1,AI1,-,-,-,-,-,-,-,-
3356,奇偶,-,AI1,AI1,-,-,-,-,-,-,-,-
3467,台灣精材,-,-,AI2,-,-,-,-,-,-,-,-
3558,神準,-,AI1,AI1,-,-,-,-,-,-,-,-
4114,健喬,-,AI1,AI1,-,-,-,-,-,-,-,-
4749,新應材,-,-,AI1,-,-,-,-,-,-,-,-
4938,和碩,-,-,AI1,-,-,-,-,-,-,-,-
4953,緯軟,-,AI1,AI1,-,-,-,-,-,-,-,-
5203,訊連,-,AI1,AI1,-,-,-,-,-,-,-,-
5269,祥碩,-,AI1,AI2,-,-,-,-,-,-,-,-
5274,信驊,-,AI1,AI1,-,-,-,-,-,-,-,-
5434,崇越,-,AI1,AI1,-,-,-,-,-,-,-,-
5536,聖暉,-,AI1,AI1,-,-,-,-,-,-,-,-
5904,寶雅,-,AI2,AI2,-,-,-,-,-,-,-,-
6035,悠遊卡,-,AI2,-,AI2,-,-,-,-,-,-,-
6123,上奇,-,AI1,AI1,-,-,-,-,-,-,-,-
6125,廣運,-,-,AI1,-,-,-,-,-,-,-,-
6182,合晶,-,AI1,AI1,-,-,-,-,-,-,-,-
6214,精誠,-,AI1,AI1,-,-,-,-,-,-,-,-
6231,系微,-,AI1,AI1,-,-,-,-,-,-,-,-
6285,啟碁,-,-,-,-,-,-,-,-,-,-,-
6425,易發,-,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-
6442,光聖,-,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-
6462,神盾,-,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-
6506,雙邦,-,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-
6510,精測,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-
6526,達發,-,AI1,AI1,-,-,-,-,-,-,-,-
6561,是方,-,AI1,AI1,-,-,-,-,-,-,-,-
6597,立誠,-,AI2,AI2,-,-,-,-,-,-,-,-
6613,朋億,-,AI1,AI1,-,-,-,-,-,-,-,-
6669,緯穎,-,AI1,AI1,-,-,-,-,-,-,-,-
6690,安碁資訊,-,-,-,-,-,-,-,-,-,-,-
6695,芯鼎,-,AI1,AI1,-,-,-,-,-,-,-,-
6699,奇邑,-,AI1,-,-,-,-,-,-,-,-,-
6720,久昌,-,AI1,AI1,-,-,-,-,-,-,-,-
6751,智聯服務,-,AI1,AI1,AI1,-,-,-,-,-,-,-
6757,台灣虎航,-,AI2,AI2,-,-,-,-,-,-,-,-
6763,綠界科技,-,AI1,AI1,-,AI1,AI1,AI1,-,-,-,-
6811,宏碁資訊,-,-,-,-,-,-,-,-,-,-,-
